ID;Dossier von;Dossier bis;Produkt
id02907;2019-07;2021-06;Sozialhilfeleistung
id00878;2019-01;2019-05;Sozialhilfeleistung
id03127;2021-02;2021-08;Sozialhilfeleistung
id04638;2019-03;2019-06;Sozialhilfeleistung
id04638;2022-01;;Sozialhilfeleistung
id04914;2019-03;2019-06;Sozialhilfeleistung
id02760;2019-03;2019-10;Sozialhilfeleistung
id00869;2019-02;2019-05;Sozialhilfeleistung
id00869;2019-05;2020-03;Sozialhilfeleistung
id04158;2020-06;2020-08;Sozialhilfeleistung
id02586;2019-02;2019-03;Sozialhilfeleistung
id02586;2019-04;2019-05;Sozialhilfeleistung
id02586;2019-09;2021-12;Sozialhilfeleistung
id04634;2019-05;2020-01;Sozialhilfeleistung
id04655;2019-11;2020-06;Sozialhilfeleistung
id04655;2021-06;2021-12;Sozialhilfeleistung
id04655;2022-01;;Sozialhilfeleistung
id00077;2020-11;2021-12;Sozialhilfeleistung
id04871;2020-03;2020-12;Sozialhilfeleistung
id03675;2019-08;2021-12;Sozialhilfeleistung
id02597;2021-05;2021-07;Sozialhilfeleistung
id02597;2021-07;2021-12;Sozialhilfeleistung
id01254;2019-02;2019-05;Sozialhilfeleistung
id00324;2021-02;2021-05;Sozialhilfeleistung
id02047;2019-02;2019-06;Sozialhilfeleistung
id03820;2019-02;2019-06;Sozialhilfeleistung
id02807;2019-07;2021-09;Sozialhilfeleistung
id00114;2022-01;;Sozialhilfeleistung
id03486;2019-06;2020-04;Sozialhilfeleistung
id03347;2019-02;2019-06;Sozialhilfeleistung
id03347;2022-01;2022-03;Sozialhilfeleistung
id02177;2020-01;2020-05;Sozialhilfeleistung
id02799;2019-07;2020-09;Sozialhilfeleistung
id03938;2019-03;2019-05;Sozialhilfeleistung
id04138;2019-07;2020-06;Sozialhilfeleistung
id03042;2019-04;2020-12;Sozialhilfeleistung
id03042;2020-12;2021-07;Sozialhilfeleistung
id03042;2021-07;2021-12;Sozialhilfeleistung
id01381;2019-03;2019-07;Sozialhilfeleistung
id01381;2019-07;2021-06;Sozialhilfeleistung
id02568;2022-02;;Sozialhilfeleistung
id01073;2021-04;2021-12;Sozialhilfeleistung
id02493;2019-04;2019-09;Sozialhilfeleistung
id02211;2019-07;2021-02;Sozialhilfeleistung
id03784;2019-05;2019-12;Sozialhilfeleistung
id04490;2019-03;2019-12;Sozialhilfeleistung
id02062;2019-07;2019-08;Sozialhilfeleistung
id02709;2019-03;2019-06;Sozialhilfeleistung
id02709;2019-07;2019-10;Sozialhilfeleistung
id02678;2019-04;2019-06;Sozialhilfeleistung
id02678;2019-07;2019-12;Sozialhilfeleistung
id01036;2019-03;2019-12;Sozialhilfeleistung
id02894;2021-03;2021-08;Sozialhilfeleistung
id02894;2021-08;2021-08;Sozialhilfeleistung
id03468;2019-07;2020-11;Sozialhilfeleistung
id03024;2019-03;2019-07;Sozialhilfeleistung
id01645;2019-04;2019-06;Sozialhilfeleistung
id01897;2019-05;2020-02;Sozialhilfeleistung
id01897;2021-10;2021-12;Sozialhilfeleistung
id03624;2019-07;2020-06;Sozialhilfeleistung
id04608;2019-07;2019-12;Sozialhilfeleistung
id04350;2022-01;;Rückerstattung
id01473;2019-07;2019-08;Sozialhilfeleistung
id03805;2019-08;2020-05;Sozialhilfeleistung
id04526;2019-07;2019-08;Sozialhilfeleistung
id04526;2019-08;2020-04;Sozialhilfeleistung
id01870;2019-09;2020-03;Sozialhilfeleistung
id00655;2019-07;2020-03;Sozialhilfeleistung
id04815;2019-04;2019-08;Sozialhilfeleistung
id02154;2019-05;2020-03;Sozialhilfeleistung
id03961;2020-07;2021-03;Sozialhilfeleistung
id00083;2022-01;;Sozialhilfeleistung
id03313;2019-06;2020-11;Sozialhilfeleistung
id03313;2020-12;2021-02;Sozialhilfeleistung
id01287;2020-05;2021-01;Sozialhilfeleistung
id01015;2019-05;2019-12;Sozialhilfeleistung
id02949;2020-05;2021-06;Sozialhilfeleistung
id03738;2019-06;2019-09;Sozialhilfeleistung
id03120;2019-09;2021-08;Sozialhilfeleistung
id03120;2021-09;2021-12;Sozialhilfeleistung
id01263;2019-07;2019-09;Sozialhilfeleistung
id01263;2019-09;2021-04;Sozialhilfeleistung
id01263;2022-01;;Sozialhilfeleistung
id03778;2019-06;2020-05;Sozialhilfeleistung
id01072;2019-06;2019-06;Sozialhilfeleistung
id01072;2020-03;2021-03;Sozialhilfeleistung
id01568;2019-07;2019-07;Sozialhilfeleistung
id02804;2020-08;2020-12;Sozialhilfeleistung
id02804;2022-01;;Sozialhilfeleistung
id01992;2019-06;2019-06;Sozialhilfeleistung
id03238;2021-01;2021-12;Sozialhilfeleistung
id00874;2019-07;2019-09;Sozialhilfeleistung
id00874;2020-12;2021-12;Sozialhilfeleistung
id04423;2018-10;2019-08;Sozialhilfeleistung
id00517;2019-07;2019-12;Sozialhilfeleistung
id00517;2020-02;2020-10;Sozialhilfeleistung
id00517;2021-02;2021-12;Sozialhilfeleistung
id01217;2019-07;2019-10;Sozialhilfeleistung
id03268;2019-09;2020-09;Sozialhilfeleistung
id03484;2019-10;2020-01;Sozialhilfeleistung
id03484;2020-01;2021-02;Sozialhilfeleistung
id03353;2022-03;;Rückerstattung
id01001;2019-11;2021-04;Sozialhilfeleistung
id00174;2020-01;2020-07;Sozialhilfeleistung
id00174;2022-02;;Sozialhilfeleistung
id02606;2021-11;2021-12;Sozialhilfeleistung
id01614;2019-07;2020-02;Sozialhilfeleistung
id01795;2020-09;2021-01;Sozialhilfeleistung
id02436;2019-07;2019-12;Sozialhilfeleistung
id04317;2019-07;2019-08;Sozialhilfeleistung
id04317;2020-01;2021-12;Sozialhilfeleistung
id00224;2021-09;2021-12;Sozialhilfeleistung
id00224;2022-01;;Sozialhilfeleistung
id03201;2019-07;2020-02;Sozialhilfeleistung
id00398;2020-01;2020-03;Sozialhilfeleistung
id01075;2021-08;2021-12;Sozialhilfeleistung
id04269;2019-10;2021-12;Sozialhilfeleistung
id03811;2021-08;2021-12;Sozialhilfeleistung
id02009;2022-02;;Sozialhilfeleistung
id01102;2020-01;2021-12;Sozialhilfeleistung
id01575;2020-03;2021-12;Sozialhilfeleistung
id01356;2020-11;2021-12;Sozialhilfeleistung
id03906;2019-11;2021-12;Sozialhilfeleistung
id02313;2019-08;2021-01;Sozialhilfeleistung
id04038;2020-03;2021-06;Sozialhilfeleistung
id00672;2022-01;;Sozialhilfeleistung
id02467;2022-01;2022-08;Sozialhilfeleistung
id04198;2020-09;2021-03;Sozialhilfeleistung
id04198;2021-07;2021-12;Sozialhilfeleistung
id04351;2020-03;2020-06;Sozialhilfeleistung
id04351;2020-06;2021-03;Sozialhilfeleistung
id04351;2021-03;2021-09;Sozialhilfeleistung
id04139;2022-01;;Sozialhilfeleistung
id02675;2022-01;;Sozialhilfeleistung
id03983;2019-09;2020-07;Sozialhilfeleistung
id01798;2019-12;2021-12;Sozialhilfeleistung
id03506;2019-10;2021-03;Sozialhilfeleistung
id04187;2020-12;2021-03;Sozialhilfeleistung
id00470;2022-01;;Sozialhilfeleistung
id03082;2020-03;2021-12;Sozialhilfeleistung
id00873;2019-10;2020-12;Sozialhilfeleistung
id02045;2019-09;2020-04;Sozialhilfeleistung
id02841;2021-11;2021-12;Sozialhilfeleistung
id02841;2022-01;;Sozialhilfeleistung
id03645;2020-02;2020-05;Sozialhilfeleistung
id03645;2020-05;2021-02;Sozialhilfeleistung
id01318;2019-09;2020-05;Sozialhilfeleistung
id04546;2019-09;2019-12;Sozialhilfeleistung
id04767;2019-09;2019-11;Sozialhilfeleistung
id04767;2019-12;2019-12;Sozialhilfeleistung
id01091;2020-01;2020-01;Sozialhilfeleistung
id02878;2019-10;2019-12;Sozialhilfeleistung
id02827;2020-08;2020-09;Sozialhilfeleistung
id02827;2020-10;2021-04;Sozialhilfeleistung
id00165;2022-01;2022-04;Sozialhilfeleistung
id02255;2019-09;2019-12;Sozialhilfeleistung
id02255;2020-01;2021-12;Sozialhilfeleistung
id02255;2022-01;;Sozialhilfeleistung
id03517;2020-05;2020-09;Sozialhilfeleistung
id03517;2020-09;2021-12;Sozialhilfeleistung
id00598;2022-01;;Sozialhilfeleistung
id02164;2022-01;;Sozialhilfeleistung
id02416;2019-11;2019-11;Sozialhilfeleistung
id02416;2022-01;;Sozialhilfeleistung
id03418;2019-11;2020-01;Sozialhilfeleistung
id03825;2021-03;2021-06;Sozialhilfeleistung
id03825;2022-01;;Sozialhilfeleistung
id02140;2021-11;2021-12;Sozialhilfeleistung
id00202;2020-01;2021-02;Sozialhilfeleistung
id01289;2020-01;2020-01;Sozialhilfeleistung
id01289;2020-03;2021-12;Sozialhilfeleistung
id00679;2019-10;2020-01;Sozialhilfeleistung
id01862;2019-09;2020-10;Sozialhilfeleistung
id01387;2020-01;2020-02;Sozialhilfeleistung
id04442;2020-01;2021-10;Sozialhilfeleistung
id01343;2019-12;2021-03;Sozialhilfeleistung
id00081;2020-02;2021-03;Sozialhilfeleistung
id04049;2022-01;;Sozialhilfeleistung
id01703;2022-01;;Sozialhilfeleistung
id00059;2020-07;2020-08;Sozialhilfeleistung
id00059;2021-09;2021-11;Sozialhilfeleistung
id03371;2022-01;;Sozialhilfeleistung
id01186;2020-04;2021-03;Sozialhilfeleistung
id01186;2021-09;2021-12;Sozialhilfeleistung
id02210;2019-11;2020-08;Sozialhilfeleistung
id03986;2019-12;2020-04;Sozialhilfeleistung
id03986;2020-04;2021-12;Sozialhilfeleistung
id04010;2019-12;2020-01;Sozialhilfeleistung
id00942;2019-11;2019-11;Sozialhilfeleistung
id01527;2019-11;2020-01;Sozialhilfeleistung
id02778;2022-01;;Sozialhilfeleistung
id04668;2022-01;;Sozialhilfeleistung
id03364;2020-03;2021-03;Sozialhilfeleistung
id02472;2019-12;2020-08;Sozialhilfeleistung
id03652;2020-02;2021-06;Sozialhilfeleistung
id00652;2019-12;2020-07;Sozialhilfeleistung
id00309;2020-04;2021-12;Sozialhilfeleistung
id00309;2022-01;;Sozialhilfeleistung
id02731;2020-04;2020-07;Sozialhilfeleistung
id02731;2021-10;2021-12;Sozialhilfeleistung
id00017;2022-01;;Sozialhilfeleistung
id02389;2019-12;2020-01;Sozialhilfeleistung
id02389;2020-01;2020-02;Sozialhilfeleistung
id03564;2020-04;2021-12;Sozialhilfeleistung
id03379;2020-01;2020-03;Sozialhilfeleistung
id01685;2020-05;2021-04;Sozialhilfeleistung
id04235;2022-01;;Sozialhilfeleistung
id02193;2020-05;2020-12;Sozialhilfeleistung
id01631;2021-08;2021-12;Sozialhilfeleistung
id03914;2022-01;;Rückerstattung
id01119;2020-01;2020-04;Sozialhilfeleistung
id01119;2022-01;;Sozialhilfeleistung
id02587;2020-01;2020-09;Sozialhilfeleistung
id02308;2020-01;2020-08;Sozialhilfeleistung
id00287;2021-11;2021-12;Rückerstattung
id02457;2022-01;;Sozialhilfeleistung
id03132;2020-01;2020-04;Sozialhilfeleistung
id00844;2022-01;;Sozialhilfeleistung
id01683;2020-05;2021-12;Sozialhilfeleistung
id04150;2020-05;2021-12;Sozialhilfeleistung
id04311;2020-02;2020-10;Sozialhilfeleistung
id01710;2020-05;2021-04;Sozialhilfeleistung
id04466;2020-05;2021-12;Sozialhilfeleistung
id02377;2020-02;2020-05;Sozialhilfeleistung
id01011;2021-03;2021-09;Sozialhilfeleistung
id02421;2021-02;2021-06;Sozialhilfeleistung
id02421;2021-06;2021-12;Sozialhilfeleistung
id02421;2022-01;2022-08;Sozialhilfeleistung
id03910;2020-02;2021-08;Sozialhilfeleistung
id04827;2021-03;2021-12;Sozialhilfeleistung
id04067;2020-02;2020-11;Sozialhilfeleistung
id03733;2020-02;2020-03;Sozialhilfeleistung
id03733;2020-04;2020-05;Sozialhilfeleistung
id04377;2020-03;2020-06;Sozialhilfeleistung
id00262;2022-01;;Rückerstattung
id04396;2020-01;2020-03;Sozialhilfeleistung
id00021;2020-04;2020-07;Sozialhilfeleistung
id03830;2020-02;2020-02;Sozialhilfeleistung
id04440;2020-03;2020-05;Sozialhilfeleistung
id04440;2020-05;2021-12;Sozialhilfeleistung
id04440;2022-01;;Sozialhilfeleistung
id01757;2022-01;;Sozialhilfeleistung
id00099;2020-04;2020-12;Sozialhilfeleistung
id00177;2020-05;2021-01;Sozialhilfeleistung
id02874;2021-09;2021-12;Sozialhilfeleistung
id03615;2022-03;;Sozialhilfeleistung
id03844;2020-10;2021-09;Sozialhilfeleistung
id02726;2020-04;2020-09;Sozialhilfeleistung
id03573;2020-04;2020-10;Sozialhilfeleistung
id03988;2020-03;2020-05;Sozialhilfeleistung
id01602;2020-06;2021-12;Sozialhilfeleistung
id01478;2020-03;2020-08;Sozialhilfeleistung
id04254;2021-01;2021-03;Sozialhilfeleistung
id02761;2022-01;;Sozialhilfeleistung
id00605;2020-03;2021-01;Sozialhilfeleistung
id03723;2020-04;2020-11;Sozialhilfeleistung
id04399;2020-05;2020-08;Sozialhilfeleistung
id04399;2020-09;2021-12;Sozialhilfeleistung
id00168;2021-06;2021-12;Sozialhilfeleistung
id03436;2020-03;2020-06;Sozialhilfeleistung
id03436;2022-01;;Rückerstattung
id04301;2020-03;2020-12;Sozialhilfeleistung
id04338;2021-09;2021-12;Rückerstattung
id02618;2020-04;2020-04;Sozialhilfeleistung
id02618;2020-05;2021-01;Sozialhilfeleistung
id03630;2020-04;2020-04;Sozialhilfeleistung
id00459;2020-04;2020-06;Sozialhilfeleistung
id03112;2020-07;2021-03;Sozialhilfeleistung
id03357;2020-06;2020-06;Sozialhilfeleistung
id01171;2021-03;2021-12;Sozialhilfeleistung
id04900;2020-07;2021-12;Sozialhilfeleistung
id04612;2020-09;2021-12;Sozialhilfeleistung
id01782;2020-04;2020-11;Sozialhilfeleistung
id03023;2020-04;2020-07;Sozialhilfeleistung
id01198;2020-04;2021-02;Sozialhilfeleistung
id02741;2020-05;2020-06;Sozialhilfeleistung
id03160;2020-08;2021-02;Sozialhilfeleistung
id01786;2020-05;2020-05;Sozialhilfeleistung
id01786;2021-08;2021-12;Sozialhilfeleistung
id03854;2021-09;2021-09;Sozialhilfeleistung
id01608;2020-06;2021-12;Sozialhilfeleistung
id02765;2020-06;2020-07;Sozialhilfeleistung
id00213;2022-01;;Sozialhilfeleistung
id01026;2020-08;2021-03;Sozialhilfeleistung
id01026;2021-06;2021-12;Sozialhilfeleistung
id04354;2020-09;2020-09;Sozialhilfeleistung
id02149;2020-05;2020-09;Sozialhilfeleistung
id02149;2020-09;2021-03;Sozialhilfeleistung
id00259;2020-05;2020-09;Sozialhilfeleistung
id00259;2020-09;2021-11;Sozialhilfeleistung
id00682;2020-06;2021-02;Sozialhilfeleistung
id01867;2022-02;;Sozialhilfeleistung
id00118;2021-03;2021-11;Sozialhilfeleistung
id01709;2020-07;2020-09;Sozialhilfeleistung
id00804;2020-05;2020-12;Sozialhilfeleistung
id00587;2020-06;2020-09;Sozialhilfeleistung
id03487;2019-12;2021-03;Sozialhilfeleistung
id02312;2020-06;2020-07;Sozialhilfeleistung
id02353;2020-07;2020-12;Sozialhilfeleistung
id03547;2020-06;2021-07;Sozialhilfeleistung
id01515;2021-03;2021-06;Sozialhilfeleistung
id01515;2022-01;;Sozialhilfeleistung
id03340;2020-06;2020-08;Sozialhilfeleistung
id03340;2020-09;2021-12;Sozialhilfeleistung
id02690;2020-06;2021-01;Sozialhilfeleistung
id02876;2020-09;2021-04;Sozialhilfeleistung
id00559;2020-05;2021-05;Sozialhilfeleistung
id00067;2021-10;2021-12;Sozialhilfeleistung
id00067;2022-01;;Sozialhilfeleistung
id01351;2020-07;2020-10;Sozialhilfeleistung
id01351;2020-10;2021-08;Sozialhilfeleistung
id00188;2020-06;2020-10;Sozialhilfeleistung
id00188;2020-10;2021-02;Sozialhilfeleistung
id00188;2021-02;2021-12;Sozialhilfeleistung
id00330;2020-08;2021-04;Sozialhilfeleistung
id00330;2021-04;2021-12;Sozialhilfeleistung
id01050;2020-07;2020-12;Sozialhilfeleistung
id02963;2020-10;2021-05;Sozialhilfeleistung
id03806;2022-01;2022-02;Sozialhilfeleistung
id04144;2020-08;2020-10;Sozialhilfeleistung
id03518;2020-07;2020-09;Sozialhilfeleistung
id03518;2020-10;2020-11;Sozialhilfeleistung
id03518;2022-01;;Sozialhilfeleistung
id01835;2020-11;2021-12;Sozialhilfeleistung
id03874;2020-09;2020-10;Sozialhilfeleistung
id01613;2020-11;2021-04;Sozialhilfeleistung
id01613;2021-04;2021-04;Sozialhilfeleistung
id01613;2022-01;;Sozialhilfeleistung
id01844;2020-08;2020-11;Sozialhilfeleistung
id01203;2020-08;2021-12;Sozialhilfeleistung
id01239;2022-01;2022-02;Sozialhilfeleistung
id04942;2020-07;2021-12;Sozialhilfeleistung
id04122;2020-08;2020-11;Sozialhilfeleistung
id03945;2020-07;2020-11;Sozialhilfeleistung
id01340;2021-01;2021-12;Sozialhilfeleistung
id01340;2022-01;;Sozialhilfeleistung
id01903;2020-08;2021-12;Sozialhilfeleistung
id01903;2022-01;;Sozialhilfeleistung
id00615;2020-08;2021-02;Sozialhilfeleistung
id00615;2022-01;2022-07;Sozialhilfeleistung
id00295;2021-11;2021-12;Sozialhilfeleistung
id02096;2020-08;2021-04;Sozialhilfeleistung
id00538;2021-07;2021-11;Sozialhilfeleistung
id00538;2022-01;;Rückerstattung
id02079;2020-09;2020-12;Sozialhilfeleistung
id02079;2021-04;2021-10;Sozialhilfeleistung
id01692;2020-08;2021-08;Sozialhilfeleistung
id04677;2020-09;2021-02;Sozialhilfeleistung
id04677;2021-08;2021-12;Sozialhilfeleistung
id01074;2022-01;2022-03;Sozialhilfeleistung
id01837;2020-09;2021-04;Sozialhilfeleistung
id01236;2021-11;2021-12;Sozialhilfeleistung
id01236;2022-03;;Sozialhilfeleistung
id03620;2020-09;2021-04;Sozialhilfeleistung
id00926;2022-01;2022-02;Sozialhilfeleistung
id01228;2020-10;2020-11;Sozialhilfeleistung
id01228;2020-12;2021-02;Sozialhilfeleistung
id01228;2021-02;2021-03;Sozialhilfeleistung
id03662;2020-10;2021-01;Sozialhilfeleistung
id03662;2022-01;;Sozialhilfeleistung
id04059;2021-01;2021-12;Sozialhilfeleistung
id04855;2022-01;2022-04;Sozialhilfeleistung
id02306;2021-11;2021-11;Sozialhilfeleistung
id02306;2021-11;2021-12;Sozialhilfeleistung
id02248;2021-07;2021-12;Sozialhilfeleistung
id04652;2020-11;2020-12;Sozialhilfeleistung
id00469;2022-01;;Sozialhilfeleistung
id02561;2022-01;;Sozialhilfeleistung
id00896;2020-11;2021-02;Sozialhilfeleistung
id00896;2022-01;;Sozialhilfeleistung
id03226;2021-03;2021-12;Sozialhilfeleistung
id03226;2022-01;2022-08;Sozialhilfeleistung
id01720;2020-11;2021-05;Sozialhilfeleistung
id03136;2021-02;2021-12;Sozialhilfeleistung
id01778;2022-01;;Sozialhilfeleistung
id03187;2021-08;2021-12;Sozialhilfeleistung
id04818;2022-01;;Sozialhilfeleistung
id02979;2020-10;2021-09;Sozialhilfeleistung
id00740;2020-10;2020-11;
id01676;2020-11;2020-12;Sozialhilfeleistung
id00487;2020-11;2021-02;Sozialhilfeleistung
id00487;2022-01;;Sozialhilfeleistung
id02371;2020-11;2021-11;Sozialhilfeleistung
id03147;2020-12;2021-07;Sozialhilfeleistung
id01639;2022-01;;Sozialhilfeleistung
id02197;2021-06;2021-12;Sozialhilfeleistung
id02197;2022-01;;Sozialhilfeleistung
id00276;2022-01;;Sozialhilfeleistung
id00133;2022-01;;Sozialhilfeleistung
id04780;2020-12;2021-11;Sozialhilfeleistung
id02866;2020-12;2021-05;Sozialhilfeleistung
id02269;2021-04;2021-12;Sozialhilfeleistung
id00728;2021-08;2021-08;Sozialhilfeleistung
id01781;2022-01;;Sozialhilfeleistung
id02616;2022-01;2022-07;Sozialhilfeleistung
id01532;2021-04;2021-11;Sozialhilfeleistung
id04100;2021-04;2021-12;Sozialhilfeleistung
id04100;2022-01;2022-03;Sozialhilfeleistung
id01363;2021-04;2021-11;Sozialhilfeleistung
id02466;2022-01;;Sozialhilfeleistung
id03641;2020-12;2021-08;Sozialhilfeleistung
id03734;2021-06;2021-12;Sozialhilfeleistung
id03560;2021-04;2021-12;Sozialhilfeleistung
id01758;2021-01;2021-05;Sozialhilfeleistung
id01758;2021-05;2021-12;Sozialhilfeleistung
id01758;2022-01;2022-09;Sozialhilfeleistung
id02839;2021-07;2021-12;Sozialhilfeleistung
id02839;2022-01;;Sozialhilfeleistung
id01052;2021-01;2021-04;Sozialhilfeleistung
id01052;2021-04;2021-12;Sozialhilfeleistung
id03829;2021-03;2021-09;Sozialhilfeleistung
id03212;2021-04;2021-06;Sozialhilfeleistung
id00348;2021-01;2021-04;Sozialhilfeleistung
id00973;2021-07;2021-12;Sozialhilfeleistung
id03255;2022-01;;Sozialhilfeleistung
id03697;2022-01;;Sozialhilfeleistung
id00666;2021-01;2021-05;Sozialhilfeleistung
id00666;2021-05;2021-12;Sozialhilfeleistung
id04662;2021-01;2021-05;Sozialhilfeleistung
id03461;2021-05;2021-12;Sozialhilfeleistung
id03461;2022-01;;Sozialhilfeleistung
id02837;2021-08;2021-11;Sozialhilfeleistung
id02837;2022-01;;Sozialhilfeleistung
id00857;2022-01;;Sozialhilfeleistung
id04134;2021-11;2021-12;Sozialhilfeleistung
id03622;2022-01;;Sozialhilfeleistung
id01818;2022-01;2022-01;Sozialhilfeleistung
id01722;2022-01;;Sozialhilfeleistung
id01466;2021-03;2021-09;Sozialhilfeleistung
id03059;2022-01;;Sozialhilfeleistung
id00437;2021-02;2021-11;Sozialhilfeleistung
id01027;2021-06;2021-12;Sozialhilfeleistung
id01027;2022-01;;Sozialhilfeleistung
id03528;2021-06;2021-12;Sozialhilfeleistung
id01995;2021-03;2021-12;Sozialhilfeleistung
id01995;2022-01;2022-01;Sozialhilfeleistung
id04593;2022-02;;Sozialhilfeleistung
id01130;2021-06;2021-12;Sozialhilfeleistung
id01517;2021-03;2021-07;Sozialhilfeleistung
id00542;2021-03;2021-04;Sozialhilfeleistung
id02507;2022-01;2022-05;Sozialhilfeleistung
id03190;2021-03;2021-12;Sozialhilfeleistung
id02015;2022-01;;Sozialhilfeleistung
id03628;2021-03;2021-12;Sozialhilfeleistung
id02295;2021-04;2021-10;Sozialhilfeleistung
id02295;2021-10;2021-12;Sozialhilfeleistung
id02295;2022-01;;Sozialhilfeleistung
id01451;2021-04;2021-07;Sozialhilfeleistung
id01421;2021-05;2021-07;Sozialhilfeleistung
id04451;2021-04;2021-09;Sozialhilfeleistung
id03012;2022-01;2022-05;Sozialhilfeleistung
id03378;2022-02;;Sozialhilfeleistung
id02036;2021-04;2021-11;Sozialhilfeleistung
id04223;2021-08;2021-12;Sozialhilfeleistung
id03271;2022-01;2022-02;Sozialhilfeleistung
id03953;2021-04;2021-09;Sozialhilfeleistung
id03953;2022-01;;Rückerstattung
id01025;2021-04;2021-08;Sozialhilfeleistung
id01025;2022-01;;Sozialhilfeleistung
id02229;2022-01;2022-01;Sozialhilfeleistung
id00574;2022-01;;Sozialhilfeleistung
id02321;2021-09;2021-12;Sozialhilfeleistung
id01225;2022-01;2022-03;Sozialhilfeleistung
id00818;2021-04;2021-07;Sozialhilfeleistung
id03968;2021-05;2021-12;Sozialhilfeleistung
id01756;2021-09;2021-12;Sozialhilfeleistung
id02438;2021-09;2021-12;Sozialhilfeleistung
id01790;2021-05;2021-07;Sozialhilfeleistung
id00757;2022-01;;Sozialhilfeleistung
id02806;2021-10;2021-12;Sozialhilfeleistung
id01832;2021-09;2021-12;Sozialhilfeleistung
id01785;2021-08;2021-12;Sozialhilfeleistung
id02669;2021-06;2021-09;Sozialhilfeleistung
id02669;2021-09;2021-12;Sozialhilfeleistung
id02752;2021-08;2021-12;Sozialhilfeleistung
id02146;2021-08;2021-09;Sozialhilfeleistung
id02146;2021-09;2021-12;Sozialhilfeleistung
id02863;2021-05;2021-06;Sozialhilfeleistung
id04159;2022-01;;Sozialhilfeleistung
id04029;2021-07;2021-12;Sozialhilfeleistung
id03539;2020-12;2021-12;Sozialhilfeleistung
id01208;2021-06;2021-12;Sozialhilfeleistung
id01672;2021-08;2021-11;Sozialhilfeleistung
id02796;2021-11;2021-12;Sozialhilfeleistung
id03847;2021-06;2021-06;Sozialhilfeleistung
id03444;2022-02;;Sozialhilfeleistung
id00751;2022-01;;Sozialhilfeleistung
id03818;2021-05;2021-12;Sozialhilfeleistung
id01255;2021-08;2021-12;Sozialhilfeleistung
id03041;2021-10;2021-12;Sozialhilfeleistung
