id;Dossier structure;Dossier type;Product of last dossier version;Personal household (support unit);Persons in household total;Person category;Marital status;Nationality categories;In CH since birth;Age categories;Employment situation;Degree of employment;Part-time reason;Highest completed education;Trained profession category;last job category
id02570;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;FALSE;26-35;ohne Arbeit, beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Allgemeine Büro- und Sekretariatskräfte;Berufe im Bereich personenbezogener Dienstleistungen
id04525;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;EU / EFTA;FALSE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Anlehre;Elektriker und Elektroniker;Informations- und Kommunikationstechniker
id04383;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;EU / EFTA;FALSE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Bediener stationärer Anlagen und Maschinen
id02493;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;TRUE;46-55;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Juristische, soziale, kulturelle und verwandte Fachkräfte;Juristische, soziale, kulturelle und verwandte Fachkräfte
id04311;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;verheiratet;EU / EFTA;FALSE;46-55;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id04855;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;3;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;verheiratet;EU / EFTA;FALSE;36-45;ohne Arbeit, beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Verkaufskräfte
id03059;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;>3;Mehrfachhaushalt (>3);Person mit Kind / Kinder;verheiratet;EU / EFTA;FALSE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id03041;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;EU / EFTA;TRUE;56-65;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe;Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe
id03991;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;3;Mehrfachhaushalt (>3);Person mit Kind / Kinder;ledig;EU / EFTA;FALSE;46-55;vorübergehend arbeitsunfähig;;;nicht feststellbar;kein | keine;kein | keine
id03661;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;EU / EFTA;FALSE;18-25;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;kein | keine
id00257;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;EU / EFTA;FALSE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen
id02047;Sozialhilfe;Kopfquote;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;EU / EFTA;FALSE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Bediener stationärer Anlagen und Maschinen;Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe
id01926;Sozialhilfe;Kopfquote;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Paar ohne Kind / Kinder;verheiratet;Asien;FALSE;18-25;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;kein | keine
id03251;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;3;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Asien;FALSE;36-45;;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id04051;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Afrika;FALSE;26-35;vorübergehend arbeitsunfähig;;;Anlehre;Berufe im Bereich personenbezogener Dienstleistungen;Berufe im Bereich personenbezogener Dienstleistungen
id00879;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;verheiratet;Afrika;FALSE;36-45;ohne Arbeit, beim Arbeitsamt gemeldet;;;nicht feststellbar;kein | keine;kein | keine
id00645;Sozialhilfe;Ausländer/innen;Rückerstattung;1;Mehrfachhaushalt (>3);Alleinstehend;geschieden;Afrika;FALSE;46-55;Angestellt, regelmässig;Vollzeit(90+);;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id04380;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;Afrika;FALSE;46-55;Beschäft. für Ausgesteuerte;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;nicht feststellbar;Bediener stationärer Anlagen und Maschinen;Bediener stationärer Anlagen und Maschinen
id03354;Sozialhilfe;VA Ausländer/in ab 7 J.;Rückerstattung;1;Mehrfachhaushalt (>3);Alleinstehend;ledig;Restliches Europa;FALSE;26-35;anderes (nicht erwerbstätig);;;obligatorische Schule;kein | keine;kein | keine
id04619;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Paar ohne Kind / Kinder;verheiratet;Restliches Europa;FALSE;56-65;ohne Arbeit, beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;
id01185;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Restliches Europa;FALSE;46-55;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;nicht feststellbar;kein | keine;Verkaufskräfte
id00631;Sozialhilfe;Ausländer/innen;Rückerstattung;3;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Restliches Europa;FALSE;36-45;;;;obligatorische Schule;kein | keine;kein | keine
id03282;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Restliches Europa;FALSE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Betreuungsberufe
id00420;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;Restliches Europa;FALSE;36-45;ohne Arbeit, beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id01923;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Restliches Europa;FALSE;36-45;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Verkaufskräfte;Verkaufskräfte
id04852;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (>3);Paar ohne Kind / Kinder;verheiratet;Restliches Europa;FALSE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;
id04771;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Restliches Europa;TRUE;18-25;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Spezialisten in Gesundheitsberufen
id01225;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;3;Mehrfachhaushalt (>3);Person mit Kind / Kinder;geschieden;Restliches Europa;FALSE;36-45;Angestellt, regelmässig;Eine Teilzeitstelle (bis 49%);Krankheit;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id02571;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Paar ohne Kind / Kinder;verheiratet;Restliches Europa;FALSE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen
id04112;Sozialhilfe;Kopfquote;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Restliches Europa;FALSE;26-35;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);Haushalt, familiäre Gründe;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id04162;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Paar ohne Kind / Kinder;verheiratet;EU / EFTA;FALSE;56-65;vorübergehend arbeitsunfähig;;;Schulbesuch weniger als 7 Jahre;kein | keine;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id03834;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;EU / EFTA;FALSE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Hilfsarbeiter in der Land- und Forstwirtschaft und Fischerei
id03775;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;EU / EFTA;FALSE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Assistenzberufe im Gesundheitswesen;Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen
id00369;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;EU / EFTA;FALSE;56-65;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id04902;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;EU / EFTA;FALSE;36-45;Rentner/in;;;obligatorische Schule;kein | keine;Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte
id04121;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Nordamerika;FALSE;36-45;Arbeit auf Abruf;Eine Teilzeitstelle (50-89%);keine Vollzeitstelle;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id04950;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (>3);Alleinstehend;ledig;Nordamerika;FALSE;18-25;ohne Arbeit, beim Arbeitsamt gemeldet;;;Anlehre;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id04129;Sozialhilfe;Ausländer/innen;Rückerstattung;1;Einzelhaushalt;Alleinstehend;verheiratet;Asien;FALSE;36-45;;;;nicht feststellbar;;
id04280;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;Asien;FALSE;46-55;Selbstständig;;;obligatorische Schule;Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte;Verkaufskräfte
id03916;Sozialhilfe;Kopfquote;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Paar ohne Kind / Kinder;verheiratet;Asien;FALSE;46-55;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte;Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte
id01076;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Afrika;FALSE;56-65;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id02433;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Afrika;FALSE;36-45;ohne Arbeit, beim Arbeitsamt gemeldet;;;nicht feststellbar;kein | keine;Hilfskräfte in der Nahrungsmittelzubereitung
id03174;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;>3;Mehrfachhaushalt (>3);Person mit Kind / Kinder;verheiratet;Afrika;FALSE;46-55;Angestellt, regelmässig;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id01256;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Afrika;FALSE;56-65;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;Universität/Hochschule/Fachhochschule;kein | keine;Betreuungsberufe
id02686;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;>3;Mehrfachhaushalt (>3);Paar mit Kind / Kinder;verheiratet;Afrika;FALSE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft
id02480;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;Afrika;FALSE;26-35;zeitlich befristeter Vertrag;Eine Teilzeitstelle (50-89%);keine Vollzeitstelle;Maturität, Berufsmatura, Diplommittelschule;kein | keine;Betreuungsberufe
id00464;Sozialhilfe;Flüchtling ab 5 J.;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;Afrika;FALSE;56-65;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id01316;Sozialhilfe;Kopfquote;Sozialhilfeleistung;>3;Mehrfachhaushalt (>3);Paar mit Kind / Kinder;verheiratet;Afrika;FALSE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id00994;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Asien;FALSE;36-45;;;;;;
id01400;Sozialhilfe;VA Ausländer/in ab 7 J.;Sozialhilfeleistung;3;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Asien;FALSE;26-35;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);Haushalt, familiäre Gründe;Schulbesuch weniger als 7 Jahre;kein | keine;Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen
id04071;Sozialhilfe;Kopfquote;Rückerstattung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Afrika;FALSE;36-45;;;;;kein | keine;kein | keine
id04100;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;FALSE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte
id04560;Sozialhilfe;Kopfquote;Rückerstattung;>3;Mehrfachhaushalt (>3);Paar mit Kind / Kinder;verheiratet;Afrika;FALSE;26-35;Arbeit auf Abruf;;;obligatorische Schule;Fahrzeugführer und Bediener mobiler Anlagen;Fahrzeugführer und Bediener mobiler Anlagen
id03976;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Restliches Europa;FALSE;26-35;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id00222;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (>3);Alleinstehend;geschieden;Restliches Europa;FALSE;36-45;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;kein | keine
id03598;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Restliches Europa;FALSE;36-45;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen
id00071;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Restliches Europa;FALSE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Universität/Hochschule/Fachhochschule;kein | keine;Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen
id00968;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;Restliches Europa;FALSE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Berufe im Bereich personenbezogener Dienstleistungen
id00760;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Restliches Europa;FALSE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;nicht feststellbar;kein | keine;kein | keine
id00399;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Restliches Europa;FALSE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte;Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen
id02150;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;Restliches Europa;FALSE;36-45;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte
id02872;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;verheiratet;Restliches Europa;FALSE;26-35;ohne Arbeit, beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Spezialisten in Gesundheitsberufen;Spezialisten in Gesundheitsberufen
id03116;Sozialhilfe;Kopfquote;Sozialhilfeleistung;3;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Restliches Europa;FALSE;36-45;Arbeit auf Abruf;Eine Teilzeitstelle (50-89%);Haushalt, familiäre Gründe;obligatorische Schule;kein | keine;Hilfskräfte in der Nahrungsmittelzubereitung
id01885;Sozialhilfe;Kopfquote;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Restliches Europa;FALSE;36-45;Haushalt, familiäre Gründe;;;obligatorische Schule;Ingenieurtechnische und vergleichbare Fachkräfte;
id04773;Sozialhilfe;Kopfquote;Sozialhilfeleistung;3;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Restliches Europa;FALSE;36-45;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte
id04919;Sozialhilfe;Kopfquote;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Restliches Europa;FALSE;26-35;Haushalt, familiäre Gründe;;;obligatorische Schule;kein | keine;kein | keine
id00408;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Person mit Kind / Kinder;geschieden;EU / EFTA;FALSE;46-55;;;;obligatorische Schule;Berufe im Bereich personenbezogener Dienstleistungen;Verkaufskräfte
id02405;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;TRUE;56-65;Angestellt, regelmässig;Mehrere Teilzeitstellen;;Berufslehre/-schule;Allgemeine Büro- und Sekretariatskräfte;Juristische, soziale, kulturelle und verwandte Fachkräfte
id03600;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;3;Mehrfachhaushalt (>3);Paar mit Kind / Kinder;verheiratet;EU / EFTA;FALSE;46-55;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;kein | keine;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id01414;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;EU / EFTA;FALSE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Allgemeine Büro- und Sekretariatskräfte;Elektriker und Elektroniker
id02556;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;EU / EFTA;FALSE;36-45;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Berufe im Bereich personenbezogener Dienstleistungen;Berufe im Bereich personenbezogener Dienstleistungen
id02104;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Berufe im Bereich personenbezogener Dienstleistungen;Berufe im Bereich personenbezogener Dienstleistungen
